headline,byline,keyword,Source,Source Type
Newcastle striker Yoane Wissa will miss the Africa Cup of Nations after being left out of Congo’s squad.,Newcastle striker Wissa left out of Congo squad for Africa Cup of Nations,sustainability,AP News,News
Houston quarterback C.J. Stroud is still recovering from a concussion and will miss a third straight game when the Texans host the Buffalo Bills on Thursday night.,Quarterback C.J. Stroud will miss third straight game with concussion when Texans host Bills,sustainability,AP News,News
The offense for the Las Vegas Raiders looked marginally better in the team’s first game since Chip Kelly was fired.,Struggling Raiders offense looks largely the same in first game under interim coordinator Greg Olson,sustainability,AP News,News
Arsenal forward Noni Madueke faces “a few weeks” on the sidelines after sustaining an injury in Sunday’s 1-1 draw with Manchester City. He was taken off at halftime.,Arsenal forward Noni Madueke ruled out for weeks with injury,sustainability,AP News,News
City officials in St. Petersburg have shown off the newly enclosed dome at Tropicana Field. They are confident the ballpark will be ready for the Tampa Bay Rays’ home opener on April 6.,St. Petersburg says Tropicana Field will be ready for Rays’ April 6 home opener,sustainability,AP News,News
Ukraine expects to have a $3.5 billion fund by next month to buy weapons from the U.S. and sustain its fight against Russia’s invasion.,"Ukraine expects $3.5 billion fund for US weapons to sustain fight against Russia, Zelenskyy says",sustainability,AP News,News
The St. Louis Blues will be without two forwards for an extended period of time. General manager Doug Armstrong announced Jimmy Snuggerud is having surgery on his injured left wrist and will be re-evaluated in six weeks.,Blues’ Snuggerud is having wrist surgery and Toropchenko out after burning legs in a home accident,sustainability,AP News,News
Chelsea has confirmed Lauren James will be sidelined “for a period of time” because of an injury the forward sustained while helping England win the Women’s European Championship last month.,Chelsea forward Lauren James sidelined with injury sustained at Euro 2025,sustainability,AP News,News
"Shubman Gill will miss India’s three-match ODI series against South Africa starting Nov. 30, with Lokesh Rahul to lead the side in his place.",Lokesh Rahul to lead India against South Africa in ODI series as Pant returns,sustainability,AP News,News
A European Union court has ruled that nuclear energy and natural gas can be considered environmentally sustainable investments.,Court rules Europe can call nuclear and natural gas sustainable investments for its green transition,sustainability,AP News,News
Ousmane Dembélé has trained with his PSG teammates and could return from injury for the Champions League match against Tottenham.,PSG coach hopeful Ousmane Dembélé will return for PSG’s Champions League clash against Tottenham,sustainability,AP News,News
Chelsea manager Enzo Maresca says Cole Palmer sustained a broken toe in an accident at home this week and will be sidelined for the next three games.,Cole Palmer breaks toe in ‘accident at home’ and will miss more Chelsea games,sustainability,AP News,News
A federal jury found a private corrections company running a Louisiana jail liable for the 2015 death of a man who died of head injuries he sustained while in custody and awarded the family more than $40 million in damages.,Louisiana jury awards more than $40 million to family of man who died in privately-run jail,sustainability,AP News,News
Pittsburgh Penguins forward Rickard Rakell will miss 6-8 weeks after undergoing hand surgery. The 14-year veteran sustained the injury while blocking a shot during a shootout loss to Columbus.,Penguins forward Rickard Rakell to miss 6-8 weeks after undergoing hand surgery,sustainability,AP News,News
"Shai Gilgeous-Alexander scored 38 points and made a key 3-pointer with 3:34 left, Jalen Williams added 22 points and six assists, and the Oklahoma City Thunder held off the determined Golden State Warriors 124-112.",Shai Gilgeous-Alexander scores 38 points as defending champion Thunder hold off Warriors 124-112,sustainability,AP News,News
More heavy rain was falling in parts of Taiwan from a tropical depression that caused flooding and brought a continued risk of landslides.,More rain falls in Taiwan after tropical depression causes flooding,sustainability,AP News,News
Helen Mirren opened Stella McCartney’s new sustainable collection with a spoken rendition of The Beatles’ “Come Together” during Paris Fashion Week on Tuesday evening.,Stella McCartney unveils innovative and sustainable collection,sustainability,AP News,News
Helen Mirren opened Stella McCartney’s Paris Fashion Week show with a spoken rendition of The Beatles’ “Come Together.”,"Helen Mirren opens Stella McCartney’s activist, cruelty-free Paris runway",sustainability,AP News,News
"Photo booths to florals, dresses to fancy cakes. The wedding industry is heavily dependent on goods that come from countres hit with new tariffs imposed by the United States.",Tips for planning a wedding at a time of new tariffs,sustainability,AP News,News
Ballon d’Or winner Ousmane Dembélé has been included in PSG’s squad for their Champions League match against Tottenham on Wednesday.,Ballon d’Or winner Dembélé returns to PSG squad for Champions League match after calf injury,sustainability,AP News,News
"The Minnesota Vikings won 14 games last season for the second most in franchise history. The Washington Commanders rode the AP NFL Offensive Rookie of the Year award winner, Jayden Daniels, all the way to the NFC championship game.",Commanders and Vikings have both fallen hard after last season’s success,sustainability,AP News,News
Conservation groups are suing over a program that authorizes killing brown and black bears as a way to help grow the size of a southwest Alaska caribou herd.,A lawsuit challenges an Alaska program that allows killing bears as a way to rebuild a caribou herd,sustainability,AP News,News
The Buffalo Bills provided Josh Allen and their inconsistent passing attack yet another veteran option by signing free agent wide receiver Brandin Cooks.,Bills provide QB Josh Allen another veteran option by signing receiver Brandin Cooks,sustainability,AP News,News
Texas A&M safety Bryce Anderson was carted off the field and taken to a hospital after sustaining an injury with 58 seconds left in the first half against Notre Dame on Saturday night.,Texas A&M safety Bryce Anderson taken off the field on cart after sustaining injury at Notre Dame,sustainability,AP News,News
Scunthorpe United player Jonathan Gjoshe was among those stabbed on a train to London. The club confirmed Monday that Gjoshe sustained non-life-threatening injuries and remains in the hospital.,Soccer player among multiple people stabbed on train to London,sustainability,AP News,News
Storms that battered Alaska’s western coast this fall have brought renewed attention to low-lying Indigenous villages left increasingly vulnerable by climate change.,Alaska Native villages have few options and little US help as climate change devours their land,sustainability,AP News,News
David Benavidez has strengthened his grip on the WBC light-heavyweight championship with a seventh-round stoppage of Anthony Yarde. The fight took place on Saturday.,Benavidez stops Yarde in 7th round to retain WBC light-heavyweight title,sustainability,AP News,News
"Air travel results in a lot of planet-warming emissions, but it’s also sometimes necessary. That’s a quandary for people who may be concerned about their personal contribution to the problem of climate change.",People bothered by air travel emissions can buy carbon offsets. Do they work?,sustainability,AP News,News
The pilot of an Indian combat plane has died after a crash during a demonstration flight at the Dubai Air Show.,"Indian fighter jet crashes during a demonstration flight at Dubai Air Show, killing the pilot",sustainability,AP News,News
Houston’s C.J. Stroud sustained a concussion after hitting his head hard on the ground at the end of a run in the second quarter of Sunday’s 18-15 loss to Denver.,Texans QB C.J. Stroud leaves loss against Broncos with a concussion,sustainability,AP News,News
Golden Knights center William Karlsson sustained a lower-body injury during the first period of Vegas’ 4-3 overtime loss to the Anaheim Ducks on Saturday night.,Golden Knights’ William Karlsson injured in overtime loss to Ducks,sustainability,AP News,News
Houston Texans quarterback C.J. Stroud won’t play Sunday against the Jacksonville Jaguars after sustaining a concussion last week.,Texans QB C.J. Stroud out against Jaguars with concussion,sustainability,AP News,News
Carolina safety Tre’Von Moehrig will miss the Panthers’ home game Sunday against the Los Angeles Rams after losing an appeal of a one-game suspension for unsportsmanlike conduct.,Tre’Von Moehrig to miss Panthers’ game against Rams after suspension appeal denied,sustainability,AP News,News
Texas Tech coach Joey McGuire says transfer running back Quinten Joyner sustained a season-ending knee injury in a scrimmage.,Texas Tech transfer running back Quinten Joyner sustains season-ending knee injury,sustainability,AP News,News
Researchers have completed a full accounting of water uses and losses in the Rio Grande-Bravo basin as it faces severe shortages throughout its range in the United States and Mexico.,A drying-up Rio Grande basin threatens water security on both sides of the border,sustainability,AP News,News
Giant balloons are getting into shape for the Macy’s Thanksgiving Day Parade. Crews inflated the giant characters Wednesday on the streets of New York City.,A welcome form of inflation: Balloons take shape for Macy’s Thanksgiving Day Parade,sustainability,AP News,News
The Denver Broncos will try to extend their winning streak to six games when they visit the Houston Texans on Sunday.,Texans’ top-rated defense faces high-scoring Broncos in a crucial matchup,sustainability,AP News,News
"Center Jordie Barrett will miss the All Blacks’ tests against Scotland, England and Wales after sustaining ankle and knee injuries in their 26-13 win over Ireland in Chicago.",Jordie Barrett to miss the rest of the All Blacks’ autumn tour; Scott Barrett out of Scotland test,sustainability,AP News,News
"The holiday season comes with a lot of pollution from materials, manufacturing, processing, packaging, shipping and wrapping.",The holiday shopping season comes with tons of extra emissions. Here’s how to do it sustainably,sustainability,AP News,News
"California will face a projected $18 billion deficit next year, according to a report by the nonpartisan Legislative Analyst’s Office.",California facing projected $18B deficit as Newsom heads into his last year as governor,sustainability,AP News,News
"Taiwan has evacuated more than 3,000 people and closed schools and offices ahead of tropical storm Fung-wong.",Taiwan evacuates thousands ahead of tropical storm Fung-wong which left 25 dead in the Philippines,sustainability,AP News,News
Paris Saint-Germain coach Luis Enrique says star forward Ousmane Dembélé is fit to play against Bayern Munich in the Champions League on Tuesday.,PSG forward Dembélé is fit to face Bayern Munich in the Champions League,sustainability,AP News,News
Naomi Osaka has pulled out of her quarterfinal match at the Japan Open because of a left leg injury.,Naomi Osaka is out of the Japan Open quarterfinals with a left leg injury,sustainability,AP News,News
President Donald Trump’s approach to ending the Russia-Ukraine war mirrors his tactics in the Israel-Hamas conflict.,"Pushing an end to the Russia-Ukraine war, Trump looks to his Gaza ceasefire playbook",sustainability,AP News,News
Cleveland rookie quarterback Shedeur Sanders sustained an oblique injury during practice Wednesday and is unlikely to play in the Browns’ preseason game against the Eagles.,Browns rookie QB Shedeur Sanders sustains an oblique injury and is unlikely to play against Eagles,sustainability,AP News,News
Swiss ski star Marco Odermatt has started the World Cup super-G season with a Thanksgiving win at Copper Mountain and Aleksander Aamodt Kilde reduced fiancée Mikaela Shiffrin to tears by making his comeback after nearly two years out.,Odermatt wins season-opening super-G at Copper Mountain as Kilde’s return reduces Shiffrin to tears,sustainability,AP News,News
Brooklyn Nets guard Cam Thomas will be sidelined for three to four weeks due to a left hamstring strain.,Nets guard Cam Thomas sidelined 3 to 4 weeks due to a left hamstring strain,sustainability,AP News,News
St. Louis Blues forward Alexey Toropchenko is the latest hockey player to miss time in the NHL because of a bizarre off-ice injury.,Alexey Toropchenko is the latest NHL player to be sidelined by a bizarre off-ice injury,sustainability,AP News,News
Switzerland has announced plans to invest $200 billion in the United States through 2028 as it finalized a hard-wrought deal to slash U.S. tariffs on Swiss goods.,Switzerland to boost US investment as deal struck to lower US tariffs on Swiss goods to 15%,sustainability,AP News,News
"Taiwan has evacuated 8,300 people and closed schools before a tropical storm brushes the southern part of the island later Wednesday.","Taiwan evacuates 8,300 and shuts schools before tropical storm brushes island",sustainability,AP News,News
"A truck has plowed into pedestrians at an outdoor market in South Korea, killing two people and injuring 18 others.","A truck hits pedestrians at a market in South Korea, killing 2 and injuring 18",sustainability,AP News,News
Cavaliers center Jarrett Allen is listed as questionable for Friday’s NBA Cup game against Toronto after breaking the ring finger on his left hand.,"Cavaliers’ Jarrett Allen breaks left ring finger, questionable for Friday’s game",sustainability,AP News,News
The Buffalo Bills are bringing reinforcements to their Josh Allen-led passing game by elevating Gabe Davis from the practice squad and signing fellow wide receiver Mecole Hardman to the active roster.,Bills call up reinforcements at receiver by elevating Davis and signing Hardman to active roster,sustainability,AP News,News
One of the last known survivors of the 1921 Tulsa Race Massacre in Oklahoma has died. Viola Ford Fletcher was 111.,"One of the 1921 Tulsa Race Massacre’s last survivors, Viola Ford Fletcher, dies at age 111",sustainability,AP News,News
Puka Nacua is day to day because of an ankle injury the Los Angeles Rams wide receiver sustained in a 17-3 win at the Baltimore Ravens on Sunday.,Rams WR Puka Nacua day to day after spraining ankle in win over Ravens,sustainability,AP News,News
The Minnesota Vikings placed center Ryan Kelly on injured reserve after he sustained his second concussion of the season in last week’s loss to the Pittsburgh Steelers.,Vikings place center Ryan Kelly on injured reserve with concussion,sustainability,AP News,News
The massive carbon capture pipeline in the Midwest has been thrown into uncertainty after South Dakota’s Public Utility Commission denied its route permit application.,South Dakota panel rejects permit for an $8.9 billion carbon capture Midwest pipeline,sustainability,AP News,News
Giant lock Will Skelton has been ruled out of Australia’s final two tests of its European tour after sustaining an ankle injury on club duty in France over the weekend.,Skelton to miss Australia’s rugby tests against Ireland and France because of injury,sustainability,AP News,News
"A fast-moving typhoon was raking across the central Philippines after slamming ashore overnight from the Pacific, leaving at least one person dead, causing flooding and power outages and displacing tens of thousands of people.","Typhoon Kalmaegi moves across central Philippines, leaving at least 1 dead and setting off floods",sustainability,AP News,News
"John Force, a 16-time Funny Car champion and the face of NHRA drag racing for nearly four decades, has formally retired.",NHRA great John Force formally retires 17 months after traumatic brain injury,sustainability,AP News,News
Aaron Rodgers and the Pittsburgh Steelers are hurting in more ways than one after a 26-7 loss to Buffalo.,Aaron Rodgers’ bloody nose a fitting symbol for the hurting Steelers in lopsided loss to Bills,sustainability,AP News,News
Prince William hosted the Earthshot Prize awards in Rio de Janeiro in Wednesday marking the centerpiece of his three-day environmental trip to the city.,Prince William spotlights environmental solutions in Rio de Janeiro with Earthshot Prize awards,sustainability,AP News,News
"Leaders and delegates from the world’s richest nations and top developing countries are gathering this weekend for the Group of 20 summit in South Africa, an event overshadowed by the boycott of U.S.",Leaders press on with G20 summit in South Africa that won’t have US and Trump,sustainability,AP News,News
Tropical Storm Sonia is churning in the Pacific Ocean and isn’t threatening land. The U.S. National Hurricane Center says the storm formed over the weekend and was centered Monday about 975 miles southwest of the southern tip of Mexico’s Baja California peninsula.,Tropical Storm Sonia churns in the Pacific Ocean and isn’t threatening land,sustainability,AP News,News
Dallas Mavericks forward Anthony Davis will miss Saturday’s game against the Detroit Pistons in Mexico City due to a left leg injury.,Anthony Davis out for Mavericks’ game in Mexico City with leg injury,sustainability,AP News,News
The Los Angeles Chargers host the Philadelphia Eagles on Monday hoping quarterback Justin Herbert will be able to play after breaking a bone in his non-throwing hand against the Las Vegas Raiders last week.,Chargers expect to have QB Justin Herbert for Monday night showdown against reeling Eagles,sustainability,AP News,News
Munich’s mayor is celebrating victory in a referendum on whether the city should bid to host the Olympics.,Munich’s mayor celebrates victory in a vote on bidding for the Olympics,sustainability,AP News,News
U.S. Sen. John Fetterman had what his office says was a “ventricular fibrillation flare-up” that caused him to feel light-headed and fall during an early morning walk.,"Pennsylvania Sen. John Fetterman hospitalized after fall, his office says",sustainability,AP News,News
A police officer shot and killed a man who authorities say began attacking a firefighter with a machete in rural east Georgia.,"Georgia officer kills a man who attacked a firefighter with a machete, police say",sustainability,AP News,News
The NFC South-leading Tampa Bay Buccaneers host the last-place New Orleans Saints looking for their second straight season sweep.,Buccaneers aim for second straight season sweep of the Saints,sustainability,AP News,News
The Indiana Pacers honored longtime center Myles Turner with a pregame highlight reel. Fans responded Monday night with a loud chorus of sustained boos.,Bucks center Myles Turner returns to Indiana and is booed in his first game against his old team,sustainability,AP News,News
Ousmane Dembélé was taken off injured midway through the first half of Paris Saint-Germain’s home game against Bayern Munich in the Champions League.,PSG forward Dembélé injured in 1st half of Champions League loss to Bayern Munich,sustainability,AP News,News
U.S. international Cameron Carter-Vickers will be sidelined for at least several months after the Celtic center back sustained an Achilles injury.,U.S. defender Carter-Vickers to miss up to 5 months with Achilles injury,sustainability,AP News,News
"A new cookbook by Andrew Zimmern and Barton Seaver is promoting more seafood in our diets. The two chefs have collaborated on “The Blue Food Cookbook,” which offers recipes and information on how to make fish and other seafood more accessible.",A new ‘Blue Food’ cookbook champions fish and other seafood for any meal,sustainability,AP News,News
"The Tokyo Mobility Show is showcasing futuristic transport, including robotic chairs and helicopter-like aircraft.",Tokyo auto show highlights technology but Trump’s tariffs loom large,sustainability,AP News,News
Jordan’s king and Indonesia’s leader have held talks as the two longtime friends agreed to strengthen military cooperation and economic ties between the two Muslim-majority nations.,Jordan’s king and Indonesia’s leader hold talks on economic ties and Gaza,sustainability,AP News,News
"As Generation Z and millennials incorporate sustainability into events like weddings and birthdays, some are growing their own bouquets or picking wildflowers straight from local fields.",Gen Z and millennials embrace sustainable alternatives to imported fresh flowers,sustainable,AP News,News
Premier League teams have agreed to introduce spending caps in England’s top flight from next season.,Premier League to introduce a spending cap from next season,sustainable,AP News,News
"Several NFL stadiums in the U.S. are among the most sustainable sports venues in the world because of their solar panels, rainwater collection systems and on-site composting and recycling programs.","From composting to solar panels, NFL stadiums are working to be more sustainable",sustainable,AP News,News
There’s clearly an appetite for shopping sustainably online. But it can be overwhelming to figure out how to find the certifications and companies that are actually making a difference.,How to make climate-friendly and sustainable choices when shopping online,sustainable,AP News,News
